YearInv,Plot,SubPlot,Quadrat,StandardID,Species,CoorX,CoorY,TreeStatus,DBH,Notes2024
2007,1,1,4,97,FG,6.6,16.7,AS,4.2,Confirmed coords in 2025
2024,1,1,4,97,FG,6.6,16.7,AS,4.4,Confirmed coords in 2025
2014,1,1,4,97,FG,6.6,16.7,AL,4.2,Confirmed coords in 2025
2002,1,1,4,106,FG,0.7,17.1,AS,22.8,Confirmed coords in 2025.
2007,1,1,4,106,FG,0.7,17.1,AS,24.4,Confirmed coords in 2025.
2014,1,1,4,106,FG,0.7,17.1,AS,25,Confirmed coords in 2025.
2024,1,1,4,106,FG,0.7,17.1,AS,28.1,Confirmed coords in 2025.
2002,1,1,4,107,AS,0.4,19.8,AS,16.2,
2007,1,1,4,107,AS,0.4,19.8,AS,18.1,
2014,1,1,4,107,AS,0.4,19.8,AS,19,
2024,1,1,4,107,AS,0.4,19.8,AS,20.4,
2014,1,1,4,108,AS,5.5,19.8,AS,17.1,2007 DBH was erroneous
2024,1,1,4,108,AS,5.5,19.8,AS,18.5,2007 DBH was erroneous
2007,1,1,4,108,AS,5.5,19.8,AS,16.6,2007 DBH was erroneous
2002,1,1,4,108,AS,5.5,19.8,AS,16,2007 DBH was erroneous
2007,1,1,4,109,FG,6.6,18.5,AS,24.3,confirmed coords in 2025
2014,1,1,4,109,FG,6.6,18.5,AS,24.6,confirmed coords in 2025
2024,1,1,4,109,FG,6.6,18.5,AS,24.4,confirmed coords in 2025
2002,1,1,4,109,FG,6.6,18.5,AB,23.8,confirmed coords in 2025
2002,1,1,4,121,FG,7.4711775,10.39333954,AB,30.5,
2007,1,1,4,121,FG,7.4711775,10.39333954,DS,29.6,
2014,1,1,4,121,FG,7.4711775,10.39333954,DF,,
2007,1,1,4,123,FG,7.5,12.2,AB,40.3,Missing half of trunk could not measure dbh well
2002,1,1,4,123,FG,7.5,12.2,AB,39.7,Missing half of trunk could not measure dbh well
2014,1,1,4,123,FG,7.5,12.2,AB,41,Missing half of trunk could not measure dbh well
2024,1,1,4,123,FG,7.5,12.2,AD,41.5,Missing half of trunk could not measure dbh well
2007,1,1,4,124,FG,4.1,14.8,AS,22.3,0 got broken off of tag when re-nailing it into tree. Confirmed coords and DBH in 2025
2014,1,1,4,124,FG,4.1,14.8,AS,26,0 got broken off of tag when re-nailing it into tree. Confirmed coords and DBH in 2025
2024,1,1,4,124,FG,4.1,14.8,AS,30.4,0 got broken off of tag when re-nailing it into tree. Confirmed coords and DBH in 2025
2002,1,1,4,124,FG,4.1,14.8,AS,19.35,0 got broken off of tag when re-nailing it into tree. Confirmed coords and DBH in 2025
2002,1,1,4,152,FG,1.1,11.6,AL,4,
2007,1,1,4,152,FG,1.1,11.6,AS,4.8,
2014,1,1,4,152,FG,1.1,11.6,AS,4.6,
2024,1,1,4,152,FG,1.1,11.6,AS,4.6,
2002,1,1,4,153,FG,3.9,10,AS,6.5,
2007,1,1,4,153,FG,3.9,10,AS,6.2,
2014,1,1,4,153,FG,3.9,10,AL,6.5,
2024,1,1,4,153,FG,3.9,10,AL,6.7,
2024,1,1,4,155,FG,0.5,15.9,AS,7.5,Confirmed coords and DBH in 2025
2002,1,1,4,155,FG,0.5,15.9,AS,8.1,Confirmed coords and DBH in 2025
2014,1,1,4,155,FG,0.5,15.9,AS,7.5,Confirmed coords and DBH in 2025
2024,1,1,1,7,FG,3.8,1.4,AS,3.7,Added new tag
2024,1,1,1,16,AS,7.5,2.9,AS,2.5,Added new tag
2007,1,1,1,96,FG,8.95,2.1,AS,4.4,
2014,1,1,1,96,FG,8.95,2.1,AS,4.5,
2024,1,1,1,96,FG,8.95,2.1,AS,4.8,
2007,1,1,1,98,AS,2.490137346,4.904,AL,4.3,
2014,1,1,1,98,AS,2.490137346,4.904,AS,5,
2002,1,1,1,101,FG,0.65,-0.3,AS,28,
2007,1,1,1,101,FG,0.65,-0.3,AS,30.3,
2014,1,1,1,101,FG,0.65,-0.3,AS,32.4,
2024,1,1,1,101,FG,0.65,-0.3,AS,35.4,
2014,1,1,1,102,AS,5.66,4.735905404,DB,21,
2024,1,1,1,102,AS,5.66,4.735905404,DF,,
2007,1,1,1,102,AS,5.66,4.735905404,AB,19.7,
2002,1,1,1,102,AS,5.66,4.735905404,AB,19.4,
2007,1,1,1,103,AS,6.6,3.4,AS,23.7,confirmed coords and DBH in 2025
2014,1,1,1,103,AS,6.6,3.4,AS,27.4,confirmed coords and DBH in 2025
2024,1,1,1,103,AS,6.6,3.4,AS,29.6,confirmed coords and DBH in 2025
2002,1,1,1,103,AS,6.6,3.4,AS,22.2,confirmed coords and DBH in 2025
2007,1,1,1,104,AS,3.5,9.6,AS,31.7,
2014,1,1,1,104,AS,3.5,9.6,AS,34.3,
2002,1,1,1,104,AS,3.5,9.6,AS,29.4,
2024,1,1,1,104,AS,3.5,9.6,AS,37.5,
2002,1,1,1,105,AS,5.3,10,AS,26.1,
2007,1,1,1,105,AS,5.3,10,AS,28.7,
2014,1,1,1,105,AS,5.3,10,AS,31.2,
2024,1,1,1,105,AS,5.3,10,AS,34.8,
2007,1,1,1,151,AS,4.013760499,4.0471875,AS,10,
2014,1,1,1,151,AS,4.013760499,4.0471875,AS,13,
2002,1,1,1,151,AS,4.013760499,4.0471875,AS,8,
2002,1,1,1,154,FG,5.8,9.8,AS,5.5,Broken in half recently
2007,1,1,1,154,FG,5.8,9.8,AS,6.7,Broken in half recently
2014,1,1,1,154,FG,5.8,9.8,AS,7,Broken in half recently
2024,1,1,1,154,FG,5.8,9.8,AB,7.2,Broken in half recently
2002,1,1,1,163,AP,9.1649375,4.000490048,AL,4,
2007,1,1,1,163,AP,9.1649375,4.000490048,DF,,
