Common Name,Latin Name,Abbreviation
American Beech,Fagus grandifolia,FG
Red Oak,Quercus rubra,QR
Sugar Maple,Acer saccharum,AS
Striped Maple,Acer pensylvanicum,AP
American Hophornbeam,Ostrya virginiana,OV
Basswood,Tilia americana,TA
Paper Birch,Betula papyrifera,BP
Yellow Birch,Betula alleghaniensis,BA
Red Maple,Acer rubrum,AR
White Pine,Pinus strobus,PS
Red Pine,Pinus resinosa,PR
Choke Cherry,Prunus virginiana,PV
Eastern Hemlock,Tsuga canadensis,TC
American Ash, Fraxinus americana,FA
