Date,Plot,Quadrat,TreeID,CoorX,CoorY,Species,Status,DBH,CrownClass,Notes
07/09/2026,1,1,3534,0.2,0.9,AS,AS,11.49,2,
07/09/2026,1,1,3535,1.9,4.4,FA,AS,13.89,3,
07/09/2026,1,1,3536,6.9,4.4,OV,AS,11.4,3,
07/09/2026,1,1,3537,9.4,2.2,AA,AS,12.56,3,
07/09/2026,1,1,3538,7.4,6.8,AS,AS,8.309999999999999,2,
07/09/2026,1,1,3539,9.1,10.3,AS,AS,20.09,2,
07/09/2026,1,1,3540,4.8,8.8,AS,AS,17.45,3,
07/09/2026,1,1,3541,3.3,8.1,PR,AS,37.82,4,
07/09/2026,1,1,3542,2.9,8.1,AP,AS,6.37,1,
07/09/2026,1,2,3543,14.4,2.6,QR,AS,30.44,4,
07/09/2026,1,2,3544,14.4,2.8,AP,AS,10.25,2,
07/09/2026,1,2,3545,16.7,1.6,PR,AS,39.510000000000005,4,
07/09/2026,1,2,3546,17.9,0.5,PR,AS,39.05,4,
07/09/2026,1,2,3547,17.3,2.9,AS,AS,21.9,3,
07/09/2026,1,2,3548,17.8,5.1,PS,AD,54.370000000000005,4,
07/09/2026,1,2,3549,14.3,8,QR,AS,36.71,4,
07/09/2026,2,3,3550,15.3,11.9,AS,AS,6.57,2,
07/09/2026,2,3,3551,18.8,14.5,QR,AS,24.17,4,
07/09/2026,2,3,3552,14.4,14.9,PR,AS,33.04,4,
07/09/2026,2,3,3553,12.9,15.5,AS,AD,43.04,4,
07/09/2026,2,3,3554,12.9,15.9,AS,AS,7.08,1,
07/09/2026,2,3,3555,12.9,17.5,AS,AS,3.95,1,
07/09/2026,2,3,3556,12.9,17.5,AS,AS,4.55,1,
07/09/2026,2,3,3557,14,19.7,FG,AS,2.76,1,
07/09/2026,2,3,3558,15,20.4,AS,AS,12.7,2,
07/09/2026,2,4,3559,4.8,18.4,PR,AS,46.66,4,
07/09/2026,2,4,3560,4.8,17.1,AS,AS,12.56,2,
07/09/2026,2,4,3561,1.9,19.2,AP,AS,18.03,4,
07/09/2026,2,4,3562,1.4,18.7,AP,AS,10.79,2,
07/09/2026,2,4,3563,1.7,21.6,AP,AS,7.9,2,
07/09/2026,2,4,3564,1.7,13.1,AS,AS,25.9,3,
07/09/2027,1,1,3534,0.2,0.9,AS,AS,11.55,2,
07/09/2027,1,1,3535,1.9,4.4,FA,AS,14.33,3,
07/09/2027,1,1,3536,6.9,4.4,OV,AS,11.96,3,
07/09/2027,1,1,3537,9.4,2.2,AA,AS,12.93,3,"Serviceberry (amelanchier arborea), species uncertain"
07/09/2027,1,1,3538,7.4,6.8,AS,AS,5.94,2,
07/09/2027,1,1,3539,9.1,10.3,AS,AS,23.48,2,
07/09/2027,1,1,3540,4.8,8.8,AS,AS,13.72,3,
07/09/2027,1,1,3541,3.3,8.1,PR,AS,40.18,4,
07/09/2027,1,1,3542,2.9,8.1,AP,AD,8.47,1,
07/09/2027,1,2,3543,14.4,2.6,QR,AS,30.11,4,
07/09/2027,1,2,3544,14.4,2.8,AP,AS,11.38,2,
07/09/2027,1,2,3545,16.7,1.6,PR,AD,39.690000000000005,4,
07/09/2027,1,2,3546,17.9,0.5,PR,AS,38.4,4,
07/09/2027,1,2,3547,17.3,2.9,AS,AS,24.28,3,
07/09/2027,1,2,3548,17.8,5.1,PS,AD,55.690000000000005,4,Species uncertain (recheck)
07/09/2027,1,2,3549,14.3,8,QR,AS,38.62,4,
07/09/2027,2,3,3550,15.3,11.9,AS,AS,9.01,2,
07/09/2027,2,3,3551,18.8,14.5,QR,AS,22.43,4,
07/09/2027,2,3,3552,14.4,14.9,PR,AS,31.62,4,
07/09/2027,2,3,3553,12.9,15.5,AS,AD,44.52,4,
07/09/2027,2,3,3554,12.9,15.9,AS,AS,4.11,1,
07/09/2027,2,3,3555,12.9,17.5,AS,AS,3.54,1,
07/09/2027,2,3,3556,12.9,17.5,AS,AS,5.81,1,
07/09/2027,2,3,3557,14,19.7,FG,AS,5.68,1,
07/09/2027,2,3,3558,15,20.4,AS,AS,13.15,2,
07/09/2027,2,4,3559,4.8,18.4,PR,AD,45.23,4,
07/09/2027,2,4,3560,4.8,17.1,AS,AS,9.5,2,
07/09/2027,2,4,3561,1.9,19.2,AP,AS,17.98,4,
07/09/2027,2,4,3562,1.4,18.7,AP,AS,10.95,2,
07/09/2027,2,4,3563,1.7,21.6,AP,AS,11.12,2,
07/09/2027,2,4,3564,1.7,13.1,AS,AS,29.72,3,
07/09/2028,1,1,3534,0.2,0.9,AS,AS,13.43,2,
07/09/2028,1,1,3535,1.9,4.4,FA,AD,12.03,3,
07/09/2028,1,1,3536,6.9,4.4,OV,AS,11.73,3,
07/09/2028,1,1,3537,9.4,2.2,AA,AS,15.98,3,"Serviceberry (amelanchier arborea), species uncertain"
07/09/2028,1,1,3538,7.4,6.8,AS,AS,5.63,2,
07/09/2028,1,1,3539,9.1,10.3,AS,AS,21.88,2,
07/09/2028,1,1,3540,4.8,8.8,AS,AS,14.239999999999998,3,
07/09/2028,1,1,3541,3.3,8.1,PR,AS,41.24,4,
07/09/2028,1,1,3542,2.9,8.1,AP,AS,7.33,1,
07/09/2028,1,2,3543,14.4,2.6,QR,AS,30.14,4,
07/09/2028,1,2,3544,14.4,2.8,AP,AS,11.83,2,
07/09/2028,1,2,3545,16.7,1.6,PR,AS,40.440000000000005,4,
07/09/2028,1,2,3546,17.9,0.5,PR,AD,38.28,4,
07/09/2028,1,2,3547,17.3,2.9,AS,AS,23.74,3,
07/09/2028,1,2,3548,17.8,5.1,PS,AD,51.93,4,Species uncertain (recheck)
07/09/2028,1,2,3549,14.3,8,QR,AS,37.75,4,
07/09/2028,2,3,3550,15.3,11.9,AS,AD,6.88,2,
07/09/2028,2,3,3551,18.8,14.5,QR,AS,22.1,4,
07/09/2028,2,3,3552,14.4,14.9,PR,AS,30.49,4,
07/09/2028,2,3,3553,12.9,15.5,AS,AD,46.03,4,
07/09/2028,2,3,3554,12.9,15.9,AS,AS,5.07,1,
07/09/2028,2,3,3555,12.9,17.5,AS,AS,5.0600000000000005,1,
07/09/2028,2,3,3556,12.9,17.5,AS,AS,7.25,1,
07/09/2028,2,3,3557,14,19.7,FG,AS,2.01,1,
07/09/2028,2,3,3558,15,20.4,AS,AS,12.74,2,
07/09/2028,2,4,3559,4.8,18.4,PR,AS,44.38,4,
07/09/2028,2,4,3560,4.8,17.1,AS,AD,11.25,2,
07/09/2028,2,4,3561,1.9,19.2,AP,AS,16.1,4,
07/09/2028,2,4,3562,1.4,18.7,AP,AD,11,2,
07/09/2028,2,4,3563,1.7,21.6,AP,AS,10.61,2,
07/09/2028,2,4,3564,1.7,13.1,AS,AD,29.92,3,
07/09/2029,1,1,3534,0.2,0.9,AS,AD,11.33,2,
07/09/2029,1,1,3535,1.9,4.4,FA,AS,14.76,3,
07/09/2029,1,1,3536,6.9,4.4,OV,AS,11.86,3,
07/09/2029,1,1,3537,9.4,2.2,AA,AS,15.98,3,"Serviceberry (amelanchier arborea), species uncertain"
07/09/2029,1,1,3538,7.4,6.8,AS,AD,7.979999999999999,2,
07/09/2029,1,1,3539,9.1,10.3,AS,AS,20.42,2,
07/09/2029,1,1,3540,4.8,8.8,AS,AS,17.75,3,
07/09/2029,1,1,3541,3.3,8.1,PR,AS,38.53,4,
07/09/2029,1,1,3542,2.9,8.1,AP,AS,8.27,1,
07/09/2029,1,2,3543,14.4,2.6,QR,AS,32.49,4,
07/09/2029,1,2,3544,14.4,2.8,AP,AD,10.39,2,
07/09/2029,1,2,3545,16.7,1.6,PR,AS,38.93,4,
07/09/2029,1,2,3546,17.9,0.5,PR,AD,39.73,4,
07/09/2029,1,2,3547,17.3,2.9,AS,AS,21.46,3,
07/09/2029,1,2,3548,17.8,5.1,PS,AD,51.720000000000006,4,Species uncertain (recheck)
07/09/2029,1,2,3549,14.3,8,QR,AS,37.22,4,
07/09/2029,2,3,3550,15.3,11.9,AS,AS,8.91,2,
07/09/2029,2,3,3551,18.8,14.5,QR,AS,20.91,4,
07/09/2029,2,3,3552,14.4,14.9,PR,AS,30.47,4,
07/09/2029,2,3,3553,12.9,15.5,AS,AD,45.96,4,
07/09/2029,2,3,3554,12.9,15.9,AS,AS,6.92,1,
07/09/2029,2,3,3555,12.9,17.5,AS,AS,6.359999999999999,1,
07/09/2029,2,3,3556,12.9,17.5,AS,AS,4.82,1,
07/09/2029,2,3,3557,14,19.7,FG,AD,2.79,1,
07/09/2029,2,3,3558,15,20.4,AS,AS,15.68,2,
07/09/2029,2,4,3559,4.8,18.4,PR,AS,48.21,4,
07/09/2029,2,4,3560,4.8,17.1,AS,AS,11.78,2,
07/09/2029,2,4,3561,1.9,19.2,AP,AS,16.400000000000002,4,
07/09/2029,2,4,3562,1.4,18.7,AP,AS,8.98,2,
07/09/2029,2,4,3563,1.7,21.6,AP,AD,8.76,2,
07/09/2029,2,4,3564,1.7,13.1,AS,AD,28.6,3,
07/09/2030,1,1,3534,0.2,0.9,AS,AS,14.03,2,
07/09/2030,1,1,3535,1.9,4.4,FA,AS,14.72,3,
07/09/2030,1,1,3536,6.9,4.4,OV,AS,10.77,3,
07/09/2030,1,1,3537,9.4,2.2,AA,AS,14.23,3,"Serviceberry (amelanchier arborea), species uncertain"
07/09/2030,1,1,3538,7.4,6.8,AS,AS,9.94,2,
07/09/2030,1,1,3539,9.1,10.3,AS,AS,21.33,2,
07/09/2030,1,1,3540,4.8,8.8,AS,AD,17.53,3,
07/09/2030,1,1,3541,3.3,8.1,PR,AS,37.76,4,
07/09/2030,1,1,3542,2.9,8.1,AP,AS,9.21,1,
07/09/2030,1,2,3543,14.4,2.6,QR,AD,31.07,4,
07/09/2030,1,2,3544,14.4,2.8,AP,AS,10.27,2,
07/09/2030,1,2,3545,16.7,1.6,PR,AS,38.830000000000005,4,
07/09/2030,1,2,3546,17.9,0.5,PR,AS,40.95,4,
07/09/2030,1,2,3547,17.3,2.9,AS,AS,24.14,3,
07/09/2030,1,2,3548,17.8,5.1,PS,AD,53.32,4,Species uncertain (recheck)
07/09/2030,1,2,3549,14.3,8,QR,AS,37.82,4,
07/09/2030,2,3,3550,15.3,11.9,AS,AS,9.45,2,
07/09/2030,2,3,3551,18.8,14.5,QR,AS,24.01,4,
07/09/2030,2,3,3552,14.4,14.9,PR,AS,31.66,4,
